simulation,ignition,weather
80,4107,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather82.csv
81,1434,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather62.csv
82,116,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather93.csv
83,9797,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather96.csv
84,3121,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather28.csv
85,8156,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather47.csv
86,1594,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather97.csv
87,771,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather6.csv
88,97,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather7.csv
89,879,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather34.csv
90,6783,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather60.csv
91,1319,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather80.csv
92,1522,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather42.csv
93,6004,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather68.csv
94,590,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather36.csv
95,754,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather104.csv
96,5875,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather37.csv
97,471,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather37.csv
98,7139,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather17.csv
99,75,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather83.csv
100,9543,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather66.csv
101,5404,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather89.csv
102,5554,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather52.csv
103,239,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather53.csv
104,7172,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather62.csv
