simulation,ignition,weather
99,9958,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather89.csv
100,2576,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather35.csv
101,4,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather9.csv
102,1290,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather127.csv
103,5466,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather107.csv
104,5754,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather105.csv
105,3626,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather96.csv
106,9940,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather33.csv
107,8263,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather50.csv
108,4125,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather87.csv
109,5899,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather10.csv
110,1091,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather19.csv
111,8699,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather58.csv
112,9006,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather117.csv
113,2552,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather83.csv
114,6366,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather39.csv
115,5859,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather74.csv
116,9702,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather33.csv
117,1674,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather73.csv
118,862,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather42.csv
119,4372,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather116.csv
120,5890,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather42.csv
121,8905,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather97.csv
122,2220,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather49.csv
123,5290,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather128.csv
124,3605,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather25.csv
125,748,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather103.csv
126,9374,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather116.csv
