simulation,ignition,weather
155,1116,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather112.csv
156,436,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather67.csv
157,336,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather79.csv
158,167,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather57.csv
159,1567,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather23.csv
160,1230,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather47.csv
161,1162,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather101.csv
162,751,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather33.csv
163,598,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather28.csv
164,955,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather94.csv
165,1582,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather124.csv
166,905,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather82.csv
167,1061,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather22.csv
168,375,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather45.csv
169,340,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather103.csv
170,1412,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather27.csv
171,609,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather58.csv
172,538,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather98.csv
173,649,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather93.csv
174,862,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather54.csv
175,555,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather3.csv
176,1143,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather96.csv
177,519,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather69.csv
178,906,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather111.csv
179,325,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather43.csv
180,1286,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather14.csv
181,895,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather90.csv
182,582,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather71.csv
183,1117,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather117.csv
184,1382,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather40.csv
185,171,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather57.csv
186,547,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather80.csv
187,1531,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather67.csv
188,437,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather89.csv
189,254,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather53.csv
190,677,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather42.csv
191,715,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather39.csv
192,1176,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather25.csv
193,906,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather64.csv
194,539,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather70.csv
195,910,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather83.csv
196,371,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather21.csv
197,1399,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather74.csv
198,1104,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather25.csv
199,331,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather7.csv
200,701,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather67.csv
201,853,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather71.csv
202,1183,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather123.csv
203,1011,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather85.csv
204,738,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather84.csv
205,445,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather85.csv
206,595,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather4.csv
207,1144,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather24.csv
208,482,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather32.csv
209,1547,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather110.csv
210,435,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather74.csv
211,1528,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather21.csv
212,1225,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather81.csv
213,1020,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather87.csv
214,1161,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather87.csv
215,869,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather110.csv
216,921,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather35.csv
217,936,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather97.csv
218,1018,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather8.csv
219,1311,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather110.csv
220,830,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather29.csv
221,1317,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather102.csv
222,324,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather69.csv
223,17,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather64.csv
224,546,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather95.csv
225,210,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather75.csv
226,291,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather3.csv
227,370,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather21.csv
228,1228,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather80.csv
229,125,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather106.csv
230,329,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather90.csv
231,1269,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather70.csv
232,967,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather5.csv
233,1500,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather43.csv
234,379,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather110.csv
235,175,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather42.csv
236,262,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather126.csv
237,920,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather113.csv
238,449,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather112.csv
239,900,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather90.csv
240,377,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather91.csv
241,1421,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather23.csv
242,1553,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather79.csv
243,485,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather81.csv
244,731,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather108.csv
245,1036,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather101.csv
246,1392,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather90.csv
247,754,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather21.csv
248,945,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather58.csv
249,352,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather105.csv
250,1368,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather17.csv
251,1456,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather69.csv
252,986,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather44.csv
253,1060,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather25.csv
254,1131,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather81.csv
255,1207,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather96.csv
256,1018,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather128.csv
257,321,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather41.csv
258,363,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather77.csv
259,687,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather124.csv
260,973,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather35.csv
261,885,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather90.csv
262,997,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather8.csv
263,587,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather112.csv
264,646,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather30.csv
265,565,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather43.csv
266,762,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather92.csv
267,1412,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather9.csv
268,352,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather12.csv
269,351,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather41.csv
270,526,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather72.csv
