fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
O1a,51.621244,-115.608378,2348.000000,,,9.000000,131.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2334.000000,,,12.000000,109.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2323.000000,,,18.000000,97.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2321.000000,,,12.000000,126.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2321.000000,,,18.000000,199.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2320.000000,,,24.000000,195.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2320.000000,,,12.000000,183.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2326.000000,,,12.000000,193.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2339.000000,,,12.000000,202.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2351.000000,,,12.000000,203.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2357.000000,,,13.000000,202.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2365.000000,,,12.000000,187.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2372.000000,,,26.000000,115.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2370.000000,,,67.000000,95.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2361.000000,,,66.000000,92.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2356.000000,,,24.000000,103.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2357.000000,,,13.000000,128.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2359.000000,,,18.000000,115.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2358.000000,,,15.000000,125.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2352.000000,,,11.000000,147.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2337.000000,,,11.000000,146.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2326.000000,,,13.000000,129.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2314.000000,,,17.000000,111.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2304.000000,,,15.000000,107.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2302.000000,,,9.000000,164.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2301.000000,,,16.000000,188.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2294.000000,,,30.000000,184.000000,,,,,1,,,,,,,20,,,0.750000,,
C1,51.621244,-115.608378,2301.000000,,,27.000000,193.000000,,,,,1,,,,,,,20,,,0.750000,,
O1a,51.621244,-115.608378,2313.000000,,,21.000000,200.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2326.000000,,,17.000000,200.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2337.000000,,,15.000000,201.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2349.000000,,,12.000000,191.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2359.000000,,,22.000000,114.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2361.000000,,,61.000000,94.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2355.000000,,,67.000000,92.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2350.000000,,,30.000000,102.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2349.000000,,,13.000000,134.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2350.000000,,,16.000000,118.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2350.000000,,,15.000000,114.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2342.000000,,,10.000000,136.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2325.000000,,,11.000000,147.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2312.000000,,,14.000000,135.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2299.000000,,,17.000000,126.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2291.000000,,,15.000000,119.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2293.000000,,,10.000000,133.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2293.000000,,,9.000000,168.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2270.000000,,,64.000000,183.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2278.000000,,,61.000000,192.000000,,,,,1,,,,,,,20,,,0.750000,,
